wavelength,channel_1
1265.43,-31.0632
1265.44,-31.1195
1265.45,-31.1602
1265.46,-31.1123
1265.47,-31.1342
1265.48,-31.2
1265.49,-31.1997
1265.5,-31.182
1265.51,-31.3031
1265.52,-31.4642
1265.53,-31.4426
1265.54,-31.2685
1265.55,-31.3667
1265.56,-31.5316
1265.57,-31.6133
1265.58,-31.5041
1265.59,-31.6931
1265.6,-31.8023
1265.61,-31.6139
1265.62,-31.5155
1265.63,-31.6761
1265.64,-31.8496
1265.65,-31.741
1265.66,-31.8585
1265.67,-32.1338
1265.68,-32.0058
1265.69,-31.9718
1265.7,-32.0693
1265.71,-32.0458
1265.72,-32.0606
1265.73,-32.0503
1265.74,-32.2668
1265.75,-32.3003
1265.76,-32.3276
1265.77,-32.4487
1265.78,-32.5116
1265.79,-32.465
1265.8,-32.6746
1265.81,-32.562
1265.82,-32.5223
1265.83,-32.5978
1265.84,-32.772
1265.85,-32.8505
1265.86,-32.7933
1265.87,-32.7935
1265.88,-33.0277
1265.89,-32.9632
1265.9,-33.0466
1265.91,-33.2488
1265.92,-33.3233
1265.93,-33.2133
1265.94,-33.0624
1265.95,-33.1264
1265.96,-33.3288
1265.97,-33.2799
1265.98,-33.3533
1265.99,-33.6541
1266.0,-33.7042
1266.01,-33.5853
1266.02,-33.6251
1266.03,-33.6924
1266.04,-33.7022
1266.05,-33.8396
1266.06,-33.7868
1266.07,-33.8075
1266.08,-33.8186
1266.09,-33.792
1266.1,-33.7812
1266.11,-33.7748
1266.12,-33.9104
1266.13,-33.8005
1266.14,-33.6321
1266.15,-33.7134
1266.16,-33.5166
1266.17,-33.2826
1266.18,-33.1105
1266.19,-33.0278
1266.2,-33.0603
1266.21,-32.8384
1266.22,-32.5324
1266.23,-32.3582
1266.24,-32.0364
1266.25,-31.9161
1266.26,-31.8478
1266.27,-31.8545
1266.28,-31.7906
1266.29,-31.3818
1266.3,-31.2258
1266.31,-30.898
1266.32,-30.6712
1266.33,-30.4716
1266.34,-30.3886
1266.35,-30.4798
1266.36,-30.4214
1266.37,-30.2951
1266.38,-30.1404
1266.39,-29.8198
1266.4,-29.8851
1266.41,-29.6358
1266.42,-29.4401
1266.43,-29.3509
1266.44,-29.2971
1266.45,-29.3391
1266.46,-29.0564
1266.47,-28.9774
1266.48,-28.83
1266.49,-28.6906
1266.5,-28.6871
1266.51,-28.6917
1266.52,-28.7326
1266.53,-28.5003
1266.54,-28.4858
1266.55,-28.5775
1266.56,-28.2131
1266.57,-28.2142
1266.58,-28.2909
1266.59,-28.2923
1266.6,-28.3691
1266.61,-28.2988
1266.62,-28.0308
1266.63,-28.0357
1266.64,-28.0034
1266.65,-28.1082
1266.66,-27.9067
1266.67,-27.83
1266.68,-27.8499
1266.69,-27.7209
1266.7,-27.6661
1266.71,-27.5986
1266.72,-27.8282
1266.73,-27.6416
1266.74,-27.5755
1266.75,-27.7731
1266.76,-27.8231
1266.77,-27.6442
1266.78,-27.5396
1266.79,-27.5795
1266.8,-27.825
1266.81,-27.4322
1266.82,-27.4009
1266.83,-27.4869
1266.84,-27.3329
1266.85,-27.2604
1266.86,-27.3278
1266.87,-27.3466
1266.88,-27.2595
1266.89,-27.3258
1266.9,-27.5698
1266.91,-27.4519
1266.92,-27.2605
1266.93,-27.2062
1266.94,-27.1527
1266.95,-27.2524
1266.96,-27.0351
1266.97,-27.2783
1266.98,-27.4058
1266.99,-27.2571
1267.0,-27.1308
1267.01,-27.328
1267.02,-27.1821
1267.03,-27.1197
1267.04,-27.2002
1267.05,-27.3031
1267.06,-27.1103
1267.07,-27.1064
1267.08,-27.2235
1267.09,-27.1967
1267.1,-27.0342
1267.11,-27.1978
1267.12,-27.362
1267.13,-27.347
1267.14,-27.2343
1267.15,-27.4475
1267.16,-27.5769
1267.17,-27.4005
1267.18,-27.345
1267.19,-27.3966
1267.2,-27.4476
1267.21,-27.3905
1267.22,-27.5707
1267.23,-27.7787
1267.24,-27.7204
1267.25,-27.6921
1267.26,-28.0237
1267.27,-27.9624
1267.28,-28.0794
1267.29,-27.9203
1267.3,-27.905
1267.31,-27.9405
1267.32,-27.9266
1267.33,-28.096
1267.34,-28.1386
1267.35,-28.1811
1267.36,-28.4709
1267.37,-28.845
1267.38,-28.6019
1267.39,-28.5113
1267.4,-28.59
1267.41,-28.8264
1267.42,-28.8392
1267.43,-28.636
1267.44,-28.8764
1267.45,-28.7654
1267.46,-28.821
1267.47,-28.8329
1267.48,-28.9799
1267.49,-29.0725
1267.5,-29.0629
1267.51,-29.3332
1267.52,-29.4266
1267.53,-29.3426
1267.54,-29.3199
1267.55,-29.2937
1267.56,-29.4535
1267.57,-29.4222
1267.58,-29.331
1267.59,-29.434
1267.6,-29.5357
1267.61,-29.7478
1267.62,-29.6496
1267.63,-29.6992
1267.64,-29.8596
1267.65,-29.9186
1267.66,-29.9274
1267.67,-29.8607
1267.68,-29.8195
1267.69,-29.9869
1267.7,-29.9803
1267.71,-30.2658
1267.72,-30.2537
1267.73,-30.1767
1267.74,-30.2006
1267.75,-30.1563
1267.76,-30.3544
1267.77,-30.3501
1267.78,-30.4974
1267.79,-30.5532
1267.8,-30.4434
1267.81,-30.4349
1267.82,-30.5799
1267.83,-30.5236
1267.84,-30.5955
1267.85,-30.7328
1267.86,-30.8816
1267.87,-30.7718
1267.88,-30.7894
1267.89,-30.9545
1267.9,-30.8744
1267.91,-30.6548
1267.92,-30.6964
1267.93,-30.7903
1267.94,-30.9645
1267.95,-30.758
1267.96,-30.8947
1267.97,-31.0634
1267.98,-30.9348
1267.99,-30.7905
1268.0,-30.8496
1268.01,-30.8864
1268.02,-30.8649
1268.03,-30.693
1268.04,-30.9119
1268.05,-30.8187
1268.06,-30.6747
1268.07,-30.8481
1268.08,-31.0054
1268.09,-30.8274
1268.1,-30.7058
1268.11,-30.6047
1268.12,-30.5375
1268.13,-30.3945
1268.14,-30.4955
1268.15,-30.5341
1268.16,-30.3333
1268.17,-30.3679
1268.18,-30.3303
1268.19,-30.2066
1268.2,-30.0773
1268.21,-30.1339
1268.22,-30.2729
1268.23,-30.1749
1268.24,-29.9116
1268.25,-30.1195
1268.26,-29.8839
1268.27,-29.6121
1268.28,-29.6776
1268.29,-29.9094
1268.3,-29.8687
1268.31,-29.5794
1268.32,-29.3278
1268.33,-29.3979
1268.34,-29.1918
1268.35,-28.9456
1268.36,-29.0083
1268.37,-28.9917
1268.38,-28.8451
1268.39,-28.8394
1268.4,-29.0076
1268.41,-28.8742
1268.42,-28.6098
1268.43,-28.4358
1268.44,-28.3883
1268.45,-28.4105
1268.46,-28.2736
1268.47,-28.2517
1268.48,-28.259
1268.49,-28.1111
1268.5,-28.2397
1268.51,-28.0344
1268.52,-27.9618
1268.53,-27.9793
1268.54,-28.0144
1268.55,-27.9638
1268.56,-27.7598
1268.57,-27.9045
1268.58,-27.9401
1268.59,-27.5851
1268.6,-27.7287
1268.61,-27.7934
1268.62,-27.7629
1268.63,-27.621
1268.64,-27.4897
1268.65,-27.6428
1268.66,-27.6227
1268.67,-27.6033
1268.68,-27.6039
1268.69,-27.516
1268.7,-27.5047
1268.71,-27.4509
1268.72,-27.4552
1268.73,-27.5196
1268.74,-27.416
1268.75,-27.5721
1268.76,-27.4526
1268.77,-27.5496
1268.78,-27.5621
1268.79,-27.5112
1268.8,-27.5252
1268.81,-27.4817
1268.82,-27.4939
1268.83,-27.6844
1268.84,-27.5067
1268.85,-27.76
1268.86,-27.6591
1268.87,-27.5233
1268.88,-27.5524
1268.89,-27.5713
1268.9,-27.7286
1268.91,-27.6797
1268.92,-27.678
1268.93,-27.8679
1268.94,-27.6932
1268.95,-27.6445
1268.96,-27.6155
1268.97,-27.7425
1268.98,-27.9466
1268.99,-27.8804
1269.0,-28.0308
1269.01,-27.8686
1269.02,-27.9869
1269.03,-28.1457
1269.04,-28.0223
1269.05,-27.9779
1269.06,-28.3683
1269.07,-28.2823
1269.08,-28.2195
1269.09,-28.2214
1269.1,-28.4572
1269.11,-28.3787
1269.12,-28.2215
1269.13,-28.2223
1269.14,-28.3957
1269.15,-28.4162
1269.16,-28.4165
1269.17,-28.5701
1269.18,-28.7614
1269.19,-28.5891
1269.2,-28.5686
1269.21,-28.7484
1269.22,-28.828
1269.23,-28.8319
1269.24,-28.9075
1269.25,-29.097
1269.26,-29.1668
1269.27,-29.1158
1269.28,-29.285
1269.29,-29.4112
1269.3,-29.309
1269.31,-29.3059
1269.32,-29.4349
1269.33,-29.7306
1269.34,-29.7019
1269.35,-29.9257
1269.36,-29.9753
1269.37,-29.8424
1269.38,-30.1528
1269.39,-30.2638
1269.4,-29.9858
1269.41,-30.1029
1269.42,-30.1849
1269.43,-30.3016
1269.44,-30.2593
1269.45,-30.2396
1269.46,-30.5577
1269.47,-30.678
1269.48,-30.4829
1269.49,-30.6342
1269.5,-30.7824
1269.51,-30.729
1269.52,-30.6817
1269.53,-30.7943
1269.54,-31.0341
1269.55,-30.9395
1269.56,-30.8303
1269.57,-30.9351
1269.58,-31.1949
1269.59,-31.1128
1269.6,-31.122
1269.61,-31.2439
1269.62,-31.2188
1269.63,-31.0524
1269.64,-31.2899
1269.65,-31.0951
1269.66,-31.1582
1269.67,-31.1892
1269.68,-31.1714
1269.69,-31.1076
1269.7,-31.0655
1269.71,-31.3206
1269.72,-31.2801
1269.73,-31.1025
1269.74,-31.2862
1269.75,-31.0938
1269.76,-31.0349
1269.77,-30.9789
1269.78,-31.1223
1269.79,-31.2346
1269.8,-30.9308
1269.81,-31.255
1269.82,-31.1194
1269.83,-30.8395
1269.84,-30.8007
1269.85,-30.7563
1269.86,-30.7702
1269.87,-30.8469
1269.88,-30.6939
1269.89,-30.696
1269.9,-30.5432
1269.91,-30.5432
1269.92,-30.4019
1269.93,-30.3232
1269.94,-30.3232
1269.95,-30.3043
1269.96,-30.3522
1269.97,-30.2917
1269.98,-30.1837
1269.99,-30.2075
1270.0,-30.0054
1270.01,-29.995
1270.02,-30.0364
1270.03,-30.0145
1270.04,-30.004
1270.05,-29.7486
1270.06,-29.8158
1270.07,-29.7481
1270.08,-29.5065
1270.09,-29.5317
1270.1,-29.6153
1270.11,-29.7254
1270.12,-29.674
1270.13,-29.4179
1270.14,-29.5461
1270.15,-29.2789
1270.16,-29.3498
1270.17,-29.3486
1270.18,-29.2507
1270.19,-29.3237
1270.2,-29.2434
1270.21,-29.1472
1270.22,-29.1423
1270.23,-29.0411
1270.24,-29.0987
1270.25,-28.9329
1270.26,-28.752
1270.27,-28.8286
1270.28,-28.9147
1270.29,-28.667
1270.3,-28.5047
1270.31,-28.6517
1270.32,-28.5543
1270.33,-28.482
1270.34,-28.5703
1270.35,-28.6657
1270.36,-28.5713
1270.37,-28.4548
1270.38,-28.416
1270.39,-28.5966
1270.4,-28.4183
1270.41,-28.4229
1270.42,-28.5139
1270.43,-28.481
1270.44,-28.3347
1270.45,-28.2955
1270.46,-28.2816
1270.47,-28.3283
1270.48,-28.3567
1270.49,-28.4887
1270.5,-28.4865
1270.51,-28.4483
1270.52,-28.5767
1270.53,-28.5344
1270.54,-28.4535
1270.55,-28.6293
1270.56,-28.6658
1270.57,-28.5954
1270.58,-28.6058
1270.59,-28.8299
1270.6,-29.0588
1270.61,-28.8525
1270.62,-28.8285
1270.63,-29.0377
1270.64,-28.9406
1270.65,-28.856
1270.66,-28.9224
1270.67,-29.1399
1270.68,-29.2337
1270.69,-28.9769
1270.7,-29.1284
1270.71,-29.2063
1270.72,-29.1636
1270.73,-29.0479
1270.74,-29.1031
1270.75,-29.2604
1270.76,-29.3843
1270.77,-29.2906
1270.78,-29.2355
1270.79,-29.2287
1270.8,-29.2886
1270.81,-29.1183
1270.82,-29.199
1270.83,-29.2663
1270.84,-29.2921
1270.85,-29.3577
1270.86,-29.2826
1270.87,-29.3828
1270.88,-29.4627
1270.89,-29.2696
1270.9,-29.2971
1270.91,-29.3638
1270.92,-29.4796
1270.93,-29.4884
1270.94,-29.4006
1270.95,-29.9411
1270.96,-29.6774
1270.97,-29.4157
1270.98,-29.4732
1270.99,-29.5918
1271.0,-29.819
1271.01,-29.7867
1271.02,-29.6203
1271.03,-29.7428
1271.04,-29.7551
1271.05,-29.803
1271.06,-29.7035
1271.07,-29.6501
1271.08,-29.7972
1271.09,-29.952
1271.1,-29.932
1271.11,-30.0449
1271.12,-29.9798
1271.13,-30.0805
1271.14,-29.8875
1271.15,-29.8503
1271.16,-29.9667
1271.17,-30.0894
1271.18,-30.0201
1271.19,-29.9581
1271.2,-30.316
1271.21,-30.2838
1271.22,-30.1017
1271.23,-30.3251
1271.24,-30.4396
1271.25,-30.3357
1271.26,-30.2248
1271.27,-30.1709
1271.28,-30.3874
1271.29,-30.3529
1271.3,-30.3102
1271.31,-30.5152
1271.32,-30.4665
1271.33,-30.3802
1271.34,-30.3236
1271.35,-30.2241
1271.36,-30.376
1271.37,-30.2688
1271.38,-30.3231
1271.39,-30.3604
1271.4,-30.931
1271.41,-30.414
1271.42,-30.2746
1271.43,-30.0078
1271.44,-30.0896
1271.45,-30.31
1271.46,-30.3036
1271.47,-30.0555
1271.48,-29.9716
1271.49,-30.1518
1271.5,-30.2092
1271.51,-29.8196
1271.52,-29.8452
1271.53,-29.8964
1271.54,-29.721
1271.55,-29.6695
1271.56,-29.818
1271.57,-29.9125
1271.58,-29.7667
1271.59,-29.5396
1271.6,-29.51
1271.61,-29.5023
1271.62,-29.4245
1271.63,-29.2832
1271.64,-29.2739
1271.65,-29.1642
1271.66,-29.0807
1271.67,-29.1942
1271.68,-29.1163
1271.69,-29.0316
1271.7,-29.0076
1271.71,-28.8831
1271.72,-28.8408
1271.73,-28.67
1271.74,-28.6446
1271.75,-28.6399
1271.76,-28.4675
1271.77,-28.5364
1271.78,-28.3485
1271.79,-28.218
1271.8,-28.1216
1271.81,-28.1017
1271.82,-28.2038
1271.83,-28.1079
1271.84,-27.8876
1271.85,-27.9177
1271.86,-27.7301
1271.87,-27.7193
1271.88,-27.6699
1271.89,-27.6634
1271.9,-27.7027
1271.91,-27.5957
1271.92,-27.5138
1271.93,-27.6456
1271.94,-27.4036
1271.95,-27.2233
1271.96,-27.1371
1271.97,-27.2043
1271.98,-27.1952
1271.99,-27.097
1272.0,-27.1134
1272.01,-27.0893
1272.02,-26.9772
1272.03,-26.9436
1272.04,-26.8842
1272.05,-26.8968
1272.06,-26.8578
1272.07,-26.8305
1272.08,-26.7937
1272.09,-26.7204
1272.1,-26.9184
1272.11,-26.6644
1272.12,-26.762
1272.13,-26.8763
1272.14,-26.7697
1272.15,-26.7307
1272.16,-26.6139
1272.17,-26.59
1272.18,-26.7199
1272.19,-26.4976
1272.2,-26.681
1272.21,-26.6331
1272.22,-26.5447
1272.23,-26.5027
1272.24,-26.3473
1272.25,-26.3451
1272.26,-26.4089
1272.27,-26.3545
1272.28,-26.3091
1272.29,-26.2354
1272.3,-26.2916
1272.31,-26.3615
1272.32,-26.2707
1272.33,-26.2693
1272.34,-26.3006
1272.35,-26.3909
1272.36,-26.2678
1272.37,-26.2187
1272.38,-26.3634
1272.39,-26.3727
1272.4,-26.2474
1272.41,-26.1784
1272.42,-26.2443
1272.43,-26.5601
1272.44,-26.2524
1272.45,-26.4599
1272.46,-26.5938
1272.47,-26.4567
1272.48,-26.3515
1272.49,-26.4139
1272.5,-26.4633
1272.51,-26.5386
1272.52,-26.4427
1272.53,-26.7939
1272.54,-26.7598
1272.55,-26.5674
1272.56,-26.5929
1272.57,-26.6456
1272.58,-26.6698
1272.59,-26.9221
1272.6,-26.8943
1272.61,-26.863
1272.62,-26.7996
1272.63,-26.925
1272.64,-27.0761
1272.65,-27.0044
1272.66,-27.1142
1272.67,-27.3183
1272.68,-27.3858
1272.69,-27.3838
1272.7,-27.5249
1272.71,-27.7779
1272.72,-27.9072
1272.73,-27.7058
1272.74,-27.7325
1272.75,-27.9725
1272.76,-28.191
1272.77,-28.1431
1272.78,-28.3333
1272.79,-28.5294
